# Header line
# Header line
# Header line

Date	Time	Vx	Vy	Vz	X
		m/s	m/s	m/s	m/s
03-01-2005 13:20:00.000       6.36300         -6.00800        -0.491000         -1.55000
03-01-2005 13:24:00.000       6.21900         -4.26100          2.75600         -3.09800
03-01-2005 13:28:00.000       6.18500         -3.77400          3.05900         -3.76100
03-01-2005 13:32:00.000       5.62200         -2.42600          2.74600         -3.95700
03-01-2005 13:36:00.000       5.40200         -3.47900          1.56700         -3.50700
03-01-2005 13:40:00.000       5.49200         -4.50100         0.869000         -2.75100
03-01-2005 13:44:00.000       5.53600         -4.25800          1.10100         -3.17700
03-01-2005 13:48:00.000       5.36900         -3.10300          2.23800         -3.64300
03-01-2005 13:52:00.000       5.81400         -5.00400          1.46600         -1.20400
03-01-2005 13:56:00.000       6.08200         -5.98600       -0.0830000         0.213000
03-01-2005 14:00:00.000       5.92200         -5.80100        -0.280000        -0.867000
03-01-2005 14:04:00.000       5.54200         -5.10000         0.292000         -1.81900
03-01-2005 14:08:00.000       5.78600         -5.48900          1.48300        -0.964000
03-01-2005 14:12:00.000       5.68400         -5.30700          1.73500         -1.00400
03-01-2005 14:16:00.000       5.53100         -4.75800          2.02600        -0.750000
03-01-2005 14:20:00.000       5.52400         -5.09000          1.86300       -0.0410000
03-01-2005 14:24:00.000       5.58200         -5.17000          1.87500        0.0600000
03-01-2005 14:28:00.000       5.56700         -5.31600          1.20200        -0.664000
03-01-2005 14:32:00.000       5.63200         -5.45300         0.648000       0.00700000
03-01-2005 14:36:00.000       5.13900         -4.95500         0.520000          1.04800
03-01-2005 14:40:00.000       4.60100         -4.52100         0.609000       0.00800000
03-01-2005 14:44:00.000       5.30800         -4.73500         0.762000         -1.99700
03-01-2005 14:48:00.000       5.67100         -4.89200         0.509000         -2.69100
03-01-2005 14:52:00.000       5.67300         -4.94500         0.727000         -2.61900
03-01-2005 14:56:00.000       5.99100         -4.93100          1.96900         -2.09600
03-01-2005 15:00:00.000       6.08200         -4.97600          1.89200         -2.84100
03-01-2005 15:04:00.000       5.90100         -4.88300         0.856000         -2.90100
03-01-2005 15:08:00.000       6.16300         -5.34100         0.344000         -2.93000
03-01-2005 15:12:00.000       6.03500         -3.55700        -0.554000         -4.32200
03-01-2005 15:16:00.000       6.12100         -1.86100         -3.44400         -4.59800
03-01-2005 15:20:00.000       5.98400         -1.54800         -2.85200         -4.83400
03-01-2005 15:24:00.000       5.67500         -2.97400         -2.94600         -2.94000
03-01-2005 15:28:00.000       5.36100         -1.59900         -3.89100         -2.88000
03-01-2005 15:32:00.000       5.71000         -1.52600         -2.16500         -4.04200
03-01-2005 15:36:00.000       6.20200       -0.0160000        -0.623000         -5.72400
03-01-2005 15:40:00.000       6.59900         -1.29100         0.748000         -6.28100
03-01-2005 15:44:00.000       6.21500         -1.05200        -0.563000         -5.97800
03-01-2005 15:48:00.000       5.41300         -1.64300         -1.86300         -3.36900
03-01-2005 15:52:00.000       5.52000         -1.89000         -2.06200         -2.97100
03-01-2005 15:56:00.000       5.78100       -0.0320000          1.61500         -5.28900
03-01-2005 16:00:00.000       5.54600          1.16200          1.05500         -4.81100
03-01-2005 16:04:00.000       5.75400         -4.41900         -1.33800        -0.522000
03-01-2005 16:08:00.000       5.67600         -4.46300         -1.74500          2.03900
03-01-2005 16:12:00.000       5.96000         -4.48500         -1.58300          2.85400
03-01-2005 16:16:00.000       5.84300         -5.06300         -2.42800         0.779000
03-01-2005 16:20:00.000       5.63700         -3.69200          1.26100          3.24200
03-01-2005 16:24:00.000       5.91700         -3.84800         -3.84100          1.18000
03-01-2005 16:28:00.000       5.94000         -4.52300         -3.74200         0.751000
03-01-2005 16:32:00.000       5.32300         -4.10300         -2.48900          1.77400
03-01-2005 16:36:00.000       5.32200         -3.79500        -0.925000          2.07900
03-01-2005 16:40:00.000       5.33500         -2.54200         -2.25600          1.89100
03-01-2005 16:44:00.000       5.55400         -3.92400         -1.86400          2.73600
03-01-2005 16:48:00.000       5.67300         -3.96400         0.466000          3.01500
03-01-2005 16:52:00.000       5.90100         -4.42400          3.05300          1.54000
03-01-2005 16:56:00.000       5.98500         -5.05400          3.09300         0.159000
03-01-2005 17:00:00.000       5.84800         -3.45500          4.49600        -0.413000
03-01-2005 17:04:00.000       5.59600         -3.30100          2.79500        0.0690000
03-01-2005 17:08:00.000       5.97600         -2.34000          4.31300          1.64200
03-01-2005 17:12:00.000       6.17200         -1.92700          3.65200          4.03400
03-01-2005 17:16:00.000       6.11100         -2.19300          4.65200          1.82700
03-01-2005 17:20:00.000       6.12900         -3.02300          5.05600         0.752000
03-01-2005 17:24:00.000       6.06700         -4.49800         -2.18500          2.79500
03-01-2005 17:28:00.000       6.14400         -4.61800          1.78500          1.12000
03-01-2005 17:32:00.000       6.14700         -2.49800          5.31100         0.235000
03-01-2005 17:36:00.000       5.91900         -3.94200          3.37600          1.64400
03-01-2005 17:40:00.000       6.31200         -5.36000          2.46500          1.97700
03-01-2005 17:44:00.000       6.43000         -2.46600          4.92100         -1.84100
03-01-2005 17:48:00.000       6.70300        -0.820000          5.69300         -3.10700
03-01-2005 17:52:00.000       6.82700         -1.03600          5.36900         -3.83100
03-01-2005 17:56:00.000       6.64800        0.0220000          4.86800         -4.08500
03-01-2005 18:00:00.000       6.55600         -2.74400        -0.455000          2.20800
03-01-2005 18:04:00.000       6.69400         -4.12900        -0.908000          4.98700
03-01-2005 18:08:00.000       7.20400         -3.12800          1.25500          6.01400
03-01-2005 18:12:00.000       7.24300         -2.82700         -1.06100          6.49400
03-01-2005 18:16:00.000       7.10400         -4.00400        -0.363000          5.61100
03-01-2005 18:20:00.000       7.11400         -5.36000          1.42300          4.34600
03-01-2005 18:24:00.000       7.18400         -4.65800          1.74700          4.56700
03-01-2005 18:28:00.000       7.59300         -6.17600          1.57900          3.99300
03-01-2005 18:32:00.000       7.60600         -5.90900          3.29400          3.22500
03-01-2005 18:36:00.000       7.68700         -5.87300          4.00600          2.59500
03-01-2005 18:40:00.000       8.04400         -5.63700          3.96300          3.98800
03-01-2005 18:44:00.000       8.16500         -5.62300          5.13800          2.50700
03-01-2005 18:48:00.000       8.18900         -6.86200          4.18200        -0.143000
03-01-2005 18:52:00.000       8.18800         -5.41300          5.71700         -1.58200
03-01-2005 18:56:00.000       8.09000         -5.89600          4.37000         -3.26300
03-01-2005 19:00:00.000       7.34600         -5.00500          3.40000         -3.93700
03-01-2005 19:04:00.000       6.01600         -2.83000          2.63300         -3.94500
03-01-2005 19:08:00.000       5.90800        -0.648000          3.14800         0.424000
03-01-2005 19:12:00.000       6.01300       -0.0590000          4.88500         -2.57600
03-01-2005 19:16:00.000       5.75200         0.543000          4.82100         -2.66400
03-01-2005 19:20:00.000       5.49400         -1.12000          4.60200        0.0310000
03-01-2005 19:24:00.000       5.80800        -0.495000          4.39300        -0.803000
03-01-2005 19:28:00.000       6.19400         -2.92700         0.490000          5.02600
03-01-2005 19:32:00.000       6.09500         -3.51500          2.69500          3.70800
03-01-2005 19:36:00.000       6.01300         -2.34500          3.38600          1.83500
03-01-2005 19:40:00.000       5.79500         -2.91800          2.14800        0.0820000
03-01-2005 19:44:00.000       6.22800         -3.14300         -3.10500          4.19700
03-01-2005 19:48:00.000       6.31700         -3.35200         -2.55200          4.59400
03-01-2005 19:52:00.000       6.40100         -3.84000         -1.96600          4.45900
03-01-2005 19:56:00.000       6.61700         -2.94100         -3.69500          3.87500
03-01-2005 20:00:00.000       6.66200         -2.37000         -4.07400          4.60700
03-01-2005 20:04:00.000       6.01100         -3.31200        -0.119000          4.18600
03-01-2005 20:08:00.000       6.08100         -5.93800        -0.691000         0.644000
03-01-2005 20:12:00.000       6.04100         -5.95600         0.183000         0.667000
03-01-2005 20:16:00.000       6.07300         -5.93300         0.260000         0.860000
03-01-2005 20:20:00.000       5.72800         -1.01400         -2.67300          4.59900
03-01-2005 20:24:00.000       5.80300         -2.31400         -1.71500          4.33600
